2025-09-25 17:01:26,261 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 17:01:26,262 | INFO | BotMonitor | 🔄 Reset hourly monitoring counters
2025-09-25 17:06:26,262 | INFO | BotMonitor | 🖥️  System: CPU 37.3%, RAM 50.1%, Latency 123.36ms
2025-09-25 17:06:26,262 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 17:11:26,253 | INFO | BotMonitor | 🖥️  System: CPU 28.2%, RAM 53.7%, Latency 107.56ms
2025-09-25 17:11:26,253 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 17:16:26,259 | INFO | BotMonitor | 🖥️  System: CPU 35.1%, RAM 54.2%, Latency 121.8ms
2025-09-25 17:16:26,259 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 17:21:26,259 | INFO | BotMonitor | 🖥️  System: CPU 13.0%, RAM 52.0%, Latency 105.47ms
2025-09-25 17:21:26,259 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 17:26:26,259 | INFO | BotMonitor | 🖥️  System: CPU 23.7%, RAM 52.3%, Latency 112.96ms
2025-09-25 17:26:26,260 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 17:31:26,255 | INFO | BotMonitor | 🖥️  System: CPU 13.5%, RAM 52.2%, Latency 107.88ms
2025-09-25 17:31:26,256 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 17:36:26,251 | INFO | BotMonitor | 🖥️  System: CPU 27.2%, RAM 52.6%, Latency 125.46ms
2025-09-25 17:36:26,252 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 17:41:26,260 | INFO | BotMonitor | 🖥️  System: CPU 27.3%, RAM 52.0%, Latency 112.77ms
2025-09-25 17:41:26,261 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 17:46:26,248 | INFO | BotMonitor | 🖥️  System: CPU 11.3%, RAM 52.3%, Latency 106.72ms
2025-09-25 17:46:26,248 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 17:51:26,261 | INFO | BotMonitor | 🖥️  System: CPU 15.4%, RAM 52.2%, Latency 106.96ms
2025-09-25 17:51:26,261 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 17:56:26,253 | INFO | BotMonitor | 🖥️  System: CPU 36.5%, RAM 53.3%, Latency 110.29ms
2025-09-25 17:56:26,253 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 18:01:26,258 | INFO | BotMonitor | 🖥️  System: CPU 18.5%, RAM 53.0%, Latency 106.49ms
2025-09-25 18:01:26,259 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 18:01:26,259 | INFO | BotMonitor | 🔄 Reset hourly monitoring counters
2025-09-25 18:06:26,253 | INFO | BotMonitor | 🖥️  System: CPU 27.0%, RAM 53.4%, Latency 102.84ms
2025-09-25 18:06:26,254 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 18:11:26,259 | INFO | BotMonitor | 🖥️  System: CPU 58.3%, RAM 63.9%, Latency 119.39ms
2025-09-25 18:11:26,260 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 18:16:26,254 | INFO | BotMonitor | 🖥️  System: CPU 58.8%, RAM 65.7%, Latency 104.37ms
