[2025-09-25 01:49:08,360] [INFO] Posting update for anime id=195209 title=With Vengeance, Sincerely, Your Broken Saintess status=FINISHED
[2025-09-25 01:49:10,730] [INFO] Posting update for anime id=178090 title=I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability Season 2 status=FINISHED
[2025-09-25 01:49:13,018] [INFO] Posting update for anime id=151799 title=New PANTY & STOCKING with GARTERBELT status=FINISHED
[2025-09-25 01:49:16,384] [INFO] Saved 25 current anime ids to data/anime_scan.json
[2025-09-25 01:49:16,385] [INFO] Post anime updates complete and state saved
[2025-09-25 01:49:16,386] [INFO] Saved last run timestamp 2025-09-25T00:49:16.385362 to data/manga_scan_meta.json
[2025-09-25 01:54:31,723] [INFO] Finisher cog initialized
[2025-09-25 02:51:51,960] [INFO] Finisher cog initialized
[2025-09-25 02:56:26,377] [INFO] Finisher cog initialized
[2025-09-25 03:06:06,442] [INFO] Finisher cog initialized
[2025-09-25 03:07:47,060] [INFO] Finisher cog initialized
[2025-09-25 03:09:12,526] [INFO] Finisher cog initialized
[2025-09-25 03:10:28,008] [INFO] Finisher cog initialized
[2025-09-25 03:14:14,126] [INFO] Finisher cog initialized
[2025-09-25 03:17:19,618] [INFO] Finisher cog initialized
[2025-09-25 03:27:03,037] [INFO] Finisher cog initialized
[2025-09-25 03:33:39,441] [INFO] Finisher cog initialized
[2025-09-25 03:35:24,617] [INFO] Finisher cog initialized
[2025-09-25 03:42:44,605] [INFO] Finisher cog initialized
[2025-09-25 03:44:22,545] [INFO] Finisher cog initialized
[2025-09-25 03:44:22,546] [INFO] Finisher cog loaded - ensuring daily_check task is started
[2025-09-25 03:44:22,546] [INFO] Finisher daily_check task started from cog_load
[2025-09-25 03:45:12,929] [INFO] Finisher cog initialized
[2025-09-25 03:45:12,929] [INFO] Finisher cog loaded - ensuring daily_check task is started
[2025-09-25 03:45:12,929] [INFO] Finisher daily_check task started from cog_load
[2025-09-25 03:45:12,940] [WARNING] bot.wait_until_ready() raised RuntimeError; falling back to polling for readiness
[2025-09-25 03:48:22,115] [INFO] Finisher cog initialized
[2025-09-25 03:48:22,116] [INFO] Finisher cog loaded - ensuring daily_check task is started
[2025-09-25 03:48:22,116] [INFO] Finisher daily_check task started from cog_load
[2025-09-25 03:48:22,167] [WARNING] bot.wait_until_ready() raised RuntimeError; falling back to polling for readiness
[2025-09-25 04:02:04,533] [INFO] Finisher cog initialized
[2025-09-25 04:02:04,534] [INFO] Finisher cog loaded - ensuring daily_check task is started
[2025-09-25 04:02:04,534] [INFO] Finisher daily_check task started from cog_load
[2025-09-25 04:02:04,543] [WARNING] bot.wait_until_ready() raised RuntimeError; falling back to polling for readiness
[2025-09-25 04:07:21,678] [INFO] Finisher cog initialized
[2025-09-25 04:07:21,679] [INFO] Finisher cog loaded - ensuring daily_check task is started
[2025-09-25 04:07:21,679] [INFO] Finisher daily_check task started from cog_load
[2025-09-25 04:07:21,690] [WARNING] bot.wait_until_ready() raised RuntimeError; falling back to polling for readiness
[2025-09-25 04:10:56,471] [INFO] Finisher cog initialized
[2025-09-25 04:10:56,472] [INFO] Finisher cog loaded - ensuring daily_check task is started
[2025-09-25 04:10:56,472] [INFO] Finisher daily_check task started from cog_load
[2025-09-25 04:10:56,482] [WARNING] bot.wait_until_ready() raised RuntimeError; falling back to polling for readiness
[2025-09-25 13:04:55,982] [INFO] Finisher cog initialized
[2025-09-25 13:04:55,982] [INFO] Finisher cog loaded - ensuring daily_check task is started
[2025-09-25 13:04:55,982] [INFO] Finisher daily_check task started from cog_load
[2025-09-25 13:04:55,997] [WARNING] bot.wait_until_ready() raised RuntimeError; falling back to polling for readiness
[2025-09-25 13:05:42,545] [INFO] Finisher cog initialized
[2025-09-25 13:05:42,546] [INFO] Finisher cog loaded - ensuring daily_check task is started
[2025-09-25 13:05:42,546] [INFO] Finisher daily_check task started from cog_load
[2025-09-25 13:05:42,556] [WARNING] bot.wait_until_ready() raised RuntimeError; falling back to polling for readiness
[2025-09-25 13:09:47,912] [INFO] Finisher cog initialized
[2025-09-25 13:09:47,913] [INFO] Finisher cog loaded - ensuring daily_check task is started
[2025-09-25 13:09:47,913] [INFO] Finisher daily_check task started from cog_load
[2025-09-25 13:09:47,923] [WARNING] bot.wait_until_ready() raised RuntimeError; falling back to polling for readiness
[2025-09-25 13:18:57,670] [INFO] Fetching manga list from AniList
[2025-09-25 13:18:58,048] [INFO] AniList returned 25 media entries
[2025-09-25 13:18:59,026] [INFO] Loaded configured channel 1420499306300969063 for guild 897814031346319382
[2025-09-25 13:18:59,027] [INFO] Posting manga updates to channel 📣•animanga-completion•
[2025-09-25 13:18:59,027] [INFO] Fetching manga list from AniList
[2025-09-25 13:18:59,335] [INFO] AniList returned 25 media entries
[2025-09-25 13:18:59,335] [INFO] Found 0 new manga updates after filtering
[2025-09-25 13:18:59,597] [INFO] Saved 25 current manga ids to data/manga_scan.json
[2025-09-25 13:19:01,606] [INFO] Posting anime updates to channel 📣•animanga-completion•
[2025-09-25 13:19:01,606] [INFO] Fetching anime list from AniList
[2025-09-25 13:19:01,996] [INFO] AniList returned 25 anime entries
[2025-09-25 13:19:01,997] [INFO] Found 4 new anime updates after filtering
[2025-09-25 13:19:01,997] [INFO] Posting update for anime id=195209 title=With Vengeance, Sincerely, Your Broken Saintess status=FINISHED
[2025-09-25 13:19:04,343] [INFO] Posting update for anime id=178090 title=I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability Season 2 status=FINISHED
[2025-09-25 13:19:07,111] [INFO] Posting update for anime id=159981 title=Future Kid Takara status=FINISHED
[2025-09-25 13:19:09,462] [INFO] Posting update for anime id=151799 title=New PANTY & STOCKING with GARTERBELT status=FINISHED
[2025-09-25 13:19:11,752] [INFO] Saved 25 current anime ids to data/anime_scan.json
[2025-09-25 13:19:11,752] [INFO] Post anime updates complete and state saved
